round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,hidden_layers,optimizers
10,0.19934894144535065,0.943184494972229,0.15904316306114197,0.9624999761581421,relu,15,10,0,Nadam
10,0.22771337628364563,0.9393154978752136,0.16978570818901062,0.9608333110809326,relu,15,10,0,Adam
10,0.21924470365047455,0.9385119080543518,0.16879847645759583,0.9585714340209961,relu,15,10,1,Nadam
10,0.22392532229423523,0.9378274083137512,0.1669131964445114,0.9621428847312927,relu,15,10,1,Adam
10,0.21890467405319214,0.9383630752563477,0.1726100593805313,0.9627380967140198,relu,15,10,2,Nadam
10,0.21220427751541138,0.9386309385299683,0.15154138207435608,0.9634523987770081,relu,15,10,2,Adam
20,0.16605950891971588,0.952529788017273,0.15350931882858276,0.9659523963928223,relu,15,20,0,Nadam
20,0.14871011674404144,0.9594643115997314,0.17557403445243835,0.9624999761581421,relu,15,20,0,Adam
20,0.16490215063095093,0.9549106955528259,0.17939479649066925,0.9666666388511658,relu,15,20,1,Nadam
20,0.17250210046768188,0.9463690519332886,0.15970472991466522,0.9670237898826599,relu,15,20,1,Adam
20,0.17044439911842346,0.9512202143669128,0.17923878133296967,0.9666666388511658,relu,15,20,2,Nadam
20,0.15634746849536896,0.9574999809265137,0.15355324745178223,0.967380940914154,relu,15,20,2,Adam
10,0.20978204905986786,0.9386011958122253,0.17484289407730103,0.9610714316368103,relu,22,10,0,Nadam
10,0.22541719675064087,0.9375,0.16386647522449493,0.9622619152069092,relu,22,10,0,Adam
10,0.2172786295413971,0.9344345331192017,0.14788511395454407,0.9620237946510315,relu,22,10,1,Nadam
10,0.21314872801303864,0.9372618794441223,0.15449844300746918,0.9634523987770081,relu,22,10,1,Adam
10,0.2332765758037567,0.9299404621124268,0.17995885014533997,0.9615476131439209,relu,22,10,2,Nadam
10,0.2245931774377823,0.9333333373069763,0.17264728248119354,0.9624999761581421,relu,22,10,2,Adam
20,0.1735871434211731,0.9479166865348816,0.14639052748680115,0.9651190638542175,relu,22,20,0,Nadam
20,0.15055668354034424,0.9607738256454468,0.1737319976091385,0.9669047594070435,relu,22,20,0,Adam
20,0.15317291021347046,0.9548512101173401,0.16379351913928986,0.9679762125015259,relu,22,20,1,Nadam
20,0.16595004498958588,0.9514285922050476,0.16513226926326752,0.9666666388511658,relu,22,20,1,Adam
20,0.15988962352275848,0.9518749713897705,0.17546750605106354,0.9685714244842529,relu,22,20,2,Nadam
20,0.15997746586799622,0.9529761672019958,0.16753658652305603,0.9677380919456482,relu,22,20,2,Adam
10,0.20888946950435638,0.9406844973564148,0.16881339251995087,0.9638095498085022,relu,29,10,0,Nadam
10,0.2140846848487854,0.9386011958122253,0.15483900904655457,0.9640476107597351,relu,29,10,0,Adam
10,0.20928353071212769,0.939464271068573,0.15475013852119446,0.9659523963928223,relu,29,10,1,Nadam
10,0.20896223187446594,0.9356845021247864,0.15305495262145996,0.9621428847312927,relu,29,10,1,Adam
10,0.21516212821006775,0.9401785731315613,0.16817833483219147,0.9627380967140198,relu,29,10,2,Nadam
10,0.22142033278942108,0.9297321438789368,0.14388084411621094,0.9654762148857117,relu,29,10,2,Adam
20,0.16376054286956787,0.9567857384681702,0.1436561793088913,0.9686904549598694,relu,29,20,0,Nadam
20,0.15859033167362213,0.9541369080543518,0.15618541836738586,0.9672619104385376,relu,29,20,0,Adam
20,0.1562081277370453,0.9558333158493042,0.15940937399864197,0.9646428823471069,relu,29,20,1,Nadam
20,0.1638614982366562,0.9510714411735535,0.17913782596588135,0.9665476083755493,relu,29,20,1,Adam
20,0.16340450942516327,0.9541071653366089,0.1631474494934082,0.9679762125015259,relu,29,20,2,Nadam
20,0.15957246720790863,0.9558035731315613,0.17214947938919067,0.9663095474243164,relu,29,20,2,Adam
10,0.21817904710769653,0.9350892901420593,0.1587015688419342,0.9635714292526245,relu,36,10,0,Nadam
10,0.22456330060958862,0.935952365398407,0.1450739949941635,0.9638095498085022,relu,36,10,0,Adam
10,0.20959286391735077,0.9386309385299683,0.17585448920726776,0.9632142782211304,relu,36,10,1,Nadam
10,0.2238188236951828,0.9309523701667786,0.15741458535194397,0.9632142782211304,relu,36,10,1,Adam
